,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,income_rounded,signup_date_formatted,last_purchase_date_formatted
1,2,69,50200,252.2146926,Male,North,27,Toys,14.40203581,14-03-2022,03-07-2022,50200,14-03-2022,03-07-2022
4,5,60,112300,1528.118235,Female,West,6,Clothing,28.89378506,21-04-2021,02-06-2021,112300,21-04-2021,02-06-2021
5,6,25,62000,1024.0232,Male,West,5,Home & Garden,14.36027257,18-11-2021,06-07-2023,62000,18-11-2021,06-07-2023
6,7,78,90500,1283.045712,Female,East,27,Home & Garden,48.22122818,11-06-2022,01-02-2023,90500,11-06-2022,01-02-2023
7,8,38,81000,1970.645619,Male,East,8,Clothing,70.95280636,26-06-2021,21-12-2022,81000,26-06-2021,21-12-2022
8,9,56,114300,1540.650762,Female,East,9,Clothing,61.24029081,05-11-2022,30-05-2023,114300,05-11-2022,30-05-2023
9,10,75,83600,880.0357663,Female,West,15,Toys,95.11081821,05-07-2022,13-11-2022,83600,05-07-2022,13-11-2022
10,11,36,56300,903.9550052,Male,North,36,Toys,81.7777884,22-06-2022,08-02-2023,56300,22-06-2022,08-02-2023
13,14,28,109600,1011.407633,Female,East,32,Home & Garden,32.72751933,17-07-2022,24-08-2022,109600,17-07-2022,24-08-2022
15,16,70,103600,66.59433894,Female,West,47,Health,43.905304,08-04-2021,21-05-2023,103600,08-04-2021,21-05-2023
18,19,41,114500,275.7654016,Female,East,19,Toys,52.78742079,19-06-2021,22-12-2021,114500,19-06-2021,22-12-2021
19,20,20,64900,217.1020954,Male,North,39,Health,59.42535672,25-02-2021,25-07-2022,64900,25-02-2021,25-07-2022
20,21,39,30200,1214.320488,Female,West,6,Toys,56.87856827,21-11-2021,27-07-2022,30200,21-11-2021,27-07-2022
21,22,70,68400,1056.729083,Male,South,19,Health,11.65483634,20-10-2022,28-03-2023,68400,20-10-2022,28-03-2023
22,23,19,29900,522.0965517,Female,West,28,Health,56.99873195,17-09-2021,30-12-2023,29900,17-09-2021,30-12-2023
24,25,61,84100,994.6199841,Female,North,42,Electronics,66.37141655,16-07-2022,22-02-2023,84100,16-07-2022,22-02-2023
25,26,47,78000,406.1177813,Female,East,19,Clothing,42.93839967,06-12-2021,28-06-2023,78000,06-12-2021,28-06-2023
26,27,55,48200,1311.144263,Female,East,31,Clothing,84.87885877,08-02-2022,02-08-2023,48200,08-02-2022,02-08-2023
27,28,19,112700,1566.220326,Female,East,11,Home & Garden,77.82657448,16-06-2022,15-06-2023,112700,16-06-2022,15-06-2023
28,29,77,50000,1587.097811,Male,South,15,Home & Garden,72.43820515,23-06-2021,19-07-2023,50000,23-06-2021,19-07-2023
29,30,38,96300,1212.890265,Male,East,10,Clothing,70.07370993,22-06-2022,29-09-2022,96300,22-06-2022,29-09-2022
31,32,29,67300,140.7941432,Male,West,23,Electronics,6.111357613,10-01-2021,15-06-2022,67300,10-01-2021,15-06-2022
36,37,42,43900,320.5153115,Female,West,43,Clothing,92.90709148,15-12-2022,04-12-2023,43900,15-12-2022,04-12-2023
37,38,66,37700,1781.361704,Male,North,20,Electronics,24.9451267,10-12-2021,08-06-2022,37700,10-12-2021,08-06-2022
39,40,76,55200,1536.341498,Male,West,22,Electronics,96.30407827,08-01-2022,30-01-2022,55200,08-01-2022,30-01-2022
41,42,45,116800,22.66561649,Male,South,39,Toys,1.408641216,15-02-2021,12-08-2023,116800,15-02-2021,12-08-2023
42,43,77,111100,768.6395242,Male,South,10,Toys,90.61075999,30-12-2022,02-02-2023,111100,30-12-2022,02-02-2023
43,44,33,97400,303.9228326,Male,South,21,Clothing,22.66472988,24-02-2021,19-03-2022,97400,24-02-2021,19-03-2022
44,45,32,71000,56.40456146,Female,West,29,Health,70.59325392,19-03-2021,25-08-2023,71000,19-03-2021,25-08-2023
45,46,79,117700,938.852045,Male,North,32,Home & Garden,55.30731074,06-05-2022,11-06-2023,117700,06-05-2022,11-06-2023
50,51,61,98100,517.1386053,Male,South,23,Health,65.19126067,21-04-2021,07-09-2023,98100,21-04-2021,07-09-2023
51,52,72,81600,1307.841993,Male,North,31,Health,29.05792289,15-01-2021,07-04-2022,81600,15-01-2021,07-04-2022
52,53,69,106300,440.4212691,Female,West,4,Toys,97.39502077,19-03-2021,10-12-2022,106300,19-03-2021,10-12-2022
56,57,68,55000,1993.880253,Male,West,2,Clothing,30.61592925,02-10-2021,05-07-2022,55000,02-10-2021,05-07-2022
57,58,24,105700,383.2357543,Male,West,4,Electronics,14.85874276,09-05-2022,25-07-2023,105700,09-05-2022,25-07-2023
59,60,26,26000,834.5216514,Male,East,15,Health,96.42222781,11-01-2022,05-09-2023,26000,11-01-2022,05-09-2023
60,61,56,107600,270.2451164,Male,West,33,Clothing,41.14305764,04-03-2021,23-10-2022,107600,04-03-2021,23-10-2022
61,62,35,37200,75.130937,Female,South,6,Electronics,34.73337657,27-12-2021,22-06-2023,37200,27-12-2021,22-06-2023
65,66,31,89600,975.7726767,Female,South,1,Electronics,84.96746181,13-07-2021,09-02-2023,89600,13-07-2021,09-02-2023
69,70,43,115500,995.3460303,Female,North,26,Toys,96.63334338,28-10-2021,07-02-2023,115500,28-10-2021,07-02-2023
70,71,70,77900,1274.155246,Male,West,44,Clothing,15.65813762,22-07-2022,05-10-2022,77900,22-07-2022,05-10-2022
71,72,19,37000,1614.941309,Female,South,12,Home & Garden,18.63096175,03-11-2022,11-11-2023,37000,03-11-2022,11-11-2023
72,73,37,65900,807.8106676,Male,North,22,Home & Garden,92.68163539,11-05-2022,13-08-2022,65900,11-05-2022,13-08-2022
73,74,45,78300,1615.838224,Female,West,13,Home & Garden,70.56876465,29-05-2021,28-12-2021,78300,29-05-2021,28-12-2021
77,78,61,42200,738.2521288,Male,West,30,Health,43.26715339,01-12-2021,11-12-2023,42200,01-12-2021,11-12-2023
78,79,78,90200,1102.45873,Male,West,44,Home & Garden,77.79014945,30-11-2022,22-04-2023,90200,30-11-2022,22-04-2023
79,80,25,58800,1682.844297,Male,South,20,Clothing,55.39720546,03-07-2021,24-02-2023,58800,03-07-2021,24-02-2023
81,82,52,75500,1604.408568,Female,West,27,Electronics,32.68201322,19-09-2021,07-05-2022,75500,19-09-2021,07-05-2022
82,83,31,69200,1728.757911,Female,South,38,Health,16.13959177,06-11-2021,12-09-2023,69200,06-11-2021,12-09-2023
83,84,34,97500,318.3612243,Female,North,42,Health,1.311667577,10-12-2021,27-07-2022,97500,10-12-2021,27-07-2022
84,85,53,113000,1706.156752,Female,North,41,Clothing,82.13123443,28-02-2022,09-05-2023,113000,28-02-2022,09-05-2023
85,86,67,97900,1983.078064,Female,South,34,Health,63.66545593,19-10-2022,20-09-2023,97900,19-10-2022,20-09-2023
86,87,57,22500,1459.140885,Male,East,39,Health,22.93212413,29-05-2022,19-08-2023,22500,29-05-2022,19-08-2023
89,90,79,97000,1218.852876,Male,North,37,Health,53.87001861,28-12-2021,28-08-2023,97000,28-12-2021,28-08-2023
90,91,23,113500,629.6150364,Male,West,1,Clothing,30.01598764,18-06-2021,08-12-2023,113500,18-06-2021,08-12-2023
91,92,71,85000,1678.311051,Male,East,15,Home & Garden,26.71845172,22-10-2022,07-01-2023,85000,22-10-2022,07-01-2023
94,95,71,81400,522.1983999,Female,North,33,Electronics,58.18603507,08-11-2021,04-10-2023,81400,08-11-2021,04-10-2023
99,100,51,57700,272.9938125,Female,West,33,Home & Garden,18.09024875,17-12-2021,21-08-2022,57700,17-12-2021,21-08-2022
100,101,27,70500,895.8857355,Female,West,5,Clothing,46.19983428,28-01-2021,06-06-2021,70500,28-01-2021,06-06-2021
101,102,79,64000,104.0904203,Male,West,18,Electronics,3.507127948,24-09-2022,18-10-2022,64000,24-09-2022,18-10-2022
102,103,53,76900,1375.559865,Male,North,48,Toys,79.17178816,13-05-2021,30-09-2023,76900,13-05-2021,30-09-2023
103,104,31,48100,1807.356911,Female,West,10,Clothing,88.37599988,15-01-2022,09-03-2023,48100,15-01-2022,09-03-2023
105,106,65,99800,272.1915574,Male,East,33,Health,26.79950246,12-06-2022,15-04-2023,99800,12-06-2022,15-04-2023
106,107,32,118700,270.0168515,Male,North,23,Home & Garden,12.3155474,14-10-2021,10-08-2023,118700,14-10-2021,10-08-2023
107,108,25,44000,1630.600275,Male,East,40,Home & Garden,38.21441879,11-10-2021,23-12-2021,44000,11-10-2021,23-12-2021
108,109,31,75600,1850.023464,Male,East,5,Health,83.33356205,11-10-2022,18-12-2022,75600,11-10-2022,18-12-2022
109,110,40,102600,932.1262631,Female,West,34,Toys,34.78278038,15-08-2021,28-12-2021,102600,15-08-2021,28-12-2021
111,112,74,34600,650.1588419,Female,North,17,Electronics,27.42803762,27-01-2021,17-04-2022,34600,27-01-2021,17-04-2022
114,115,38,78100,590.7381228,Male,West,17,Clothing,90.085483,30-03-2021,05-11-2022,78100,30-03-2021,05-11-2022
116,117,62,78800,1784.576145,Female,South,38,Clothing,53.97055153,02-05-2021,19-04-2022,78800,02-05-2021,19-04-2022
117,118,35,63600,46.99536733,Female,West,22,Home & Garden,14.86888724,02-02-2021,06-09-2022,63600,02-02-2021,06-09-2022
118,119,64,43400,658.998614,Female,South,15,Clothing,34.86444784,26-08-2022,20-11-2022,43400,26-08-2022,20-11-2022
119,120,70,114000,1117.626229,Male,North,37,Health,58.37402253,27-11-2022,17-06-2023,114000,27-11-2022,17-06-2023
121,122,43,105500,202.3555333,Female,East,25,Toys,26.86750459,09-06-2022,11-12-2022,105500,09-06-2022,11-12-2022
122,123,42,33100,1634.247136,Female,West,21,Clothing,12.12268693,24-01-2021,23-08-2023,33100,24-01-2021,23-08-2023
123,124,77,84100,1790.92069,Female,West,38,Clothing,55.88323176,21-11-2021,21-05-2023,84100,21-11-2021,21-05-2023
124,125,77,75800,1650.740713,Male,North,2,Toys,17.65012225,03-02-2021,11-10-2022,75800,03-02-2021,11-10-2022
125,126,77,44900,1799.600022,Female,South,27,Toys,61.03617693,04-09-2021,15-12-2021,44900,04-09-2021,15-12-2021
126,127,62,68700,1115.161703,Female,West,49,Health,26.35214425,19-01-2021,08-04-2022,68700,19-01-2021,08-04-2022
127,128,58,64700,1628.27108,Female,East,32,Health,23.09630043,30-01-2021,04-06-2023,64700,30-01-2021,04-06-2023
128,129,46,111600,780.404424,Female,North,21,Clothing,39.9180765,18-02-2021,03-09-2021,111600,18-02-2021,03-09-2021
129,130,32,66500,1339.210366,Female,North,4,Health,59.31917576,29-06-2021,09-03-2023,66500,29-06-2021,09-03-2023
130,131,62,40600,1977.894352,Female,South,44,Health,54.53176729,05-01-2022,20-05-2023,40600,05-01-2022,20-05-2023
131,132,18,49800,466.9408932,Male,West,19,Clothing,24.47344772,30-01-2022,27-12-2023,49800,30-01-2022,27-12-2023
132,133,42,77900,792.0014977,Female,West,2,Toys,89.11166745,13-08-2022,10-12-2023,77900,13-08-2022,10-12-2023
133,134,24,23800,970.4938071,Male,North,26,Clothing,10.98819697,11-05-2022,27-03-2023,23800,11-05-2022,27-03-2023
134,135,26,47100,293.2706643,Male,East,34,Electronics,3.946756307,07-03-2022,30-05-2022,47100,07-03-2022,30-05-2022
135,136,41,87300,180.4564487,Female,West,14,Clothing,60.27062694,26-07-2021,14-08-2021,87300,26-07-2021,14-08-2021
136,137,18,87000,1662.851275,Male,East,15,Electronics,12.34071681,04-02-2021,01-08-2022,87000,04-02-2021,01-08-2022
140,141,28,104000,150.3072862,Male,North,19,Clothing,61.74565804,06-11-2021,28-04-2022,104000,06-11-2021,28-04-2022
141,142,68,102000,1784.810049,Male,East,9,Health,57.48052249,06-10-2021,19-03-2023,102000,06-10-2021,19-03-2023
142,143,34,71700,938.3522145,Female,West,7,Home & Garden,17.95392522,01-06-2021,01-10-2021,71700,01-06-2021,01-10-2021
144,145,52,26000,963.3933171,Male,East,13,Electronics,34.25235074,31-08-2021,09-11-2023,26000,31-08-2021,09-11-2023
145,146,52,29500,650.2421075,Male,South,27,Clothing,95.30743222,10-01-2021,11-12-2021,29500,10-01-2021,11-12-2021
146,147,50,76500,988.2908351,Male,West,44,Clothing,24.23202314,27-01-2022,05-01-2023,76500,27-01-2022,05-01-2023
147,148,76,49900,1721.921666,Male,South,35,Clothing,47.15163714,17-02-2021,23-07-2022,49900,17-02-2021,23-07-2022
149,150,59,61400,1395.41447,Male,South,15,Home & Garden,78.91806524,23-07-2021,07-10-2022,61400,23-07-2021,07-10-2022
150,151,56,85100,742.0479389,Male,East,46,Toys,96.45152393,06-06-2021,04-12-2021,85100,06-06-2021,04-12-2021
151,152,75,42700,1482.241639,Female,East,9,Electronics,60.83302551,26-01-2021,28-03-2022,42700,26-01-2021,28-03-2022
153,154,45,111400,256.7327555,Female,North,23,Health,82.66497755,09-11-2022,18-12-2022,111400,09-11-2022,18-12-2022
154,155,24,69700,1153.832849,Male,West,36,Toys,29.14562714,21-09-2021,23-09-2022,69700,21-09-2021,23-09-2022
155,156,26,102400,528.3521227,Male,South,40,Toys,16.47728019,13-06-2022,04-02-2023,102400,13-06-2022,04-02-2023
157,158,29,83000,863.3566628,Male,East,34,Home & Garden,63.89556635,15-04-2022,07-01-2023,83000,15-04-2022,07-01-2023
158,159,51,41800,1989.474647,Female,South,19,Health,87.89489026,11-09-2021,22-10-2022,41800,11-09-2021,22-10-2022
162,163,40,54200,1539.647685,Male,East,49,Toys,66.4513433,22-11-2021,27-07-2023,54200,22-11-2021,27-07-2023
164,165,41,100200,994.267889,Female,East,7,Toys,98.19287244,28-04-2021,02-04-2023,100200,28-04-2021,02-04-2023
165,166,54,99600,1597.086869,Female,West,41,Home & Garden,37.46612995,14-06-2021,19-11-2023,99600,14-06-2021,19-11-2023
169,170,39,87700,1056.655887,Male,North,15,Clothing,59.82018958,09-01-2022,08-07-2022,87700,09-01-2022,08-07-2022
170,171,44,57900,578.8796914,Female,West,3,Electronics,38.98947642,01-08-2022,22-07-2023,57900,01-08-2022,22-07-2023
174,175,54,30900,1310.763714,Female,North,8,Toys,69.3075113,18-02-2022,12-04-2022,30900,18-02-2022,12-04-2022
175,176,64,55900,1668.186023,Male,West,5,Toys,1.432845545,15-01-2022,15-10-2022,55900,15-01-2022,15-10-2022
176,177,31,46900,1951.436596,Female,West,4,Electronics,32.464739,01-01-2021,10-09-2022,46900,01-01-2021,10-09-2022
177,178,20,83500,958.8453066,Male,North,14,Clothing,31.90440314,16-06-2021,19-02-2023,83500,16-06-2021,19-02-2023
178,179,18,34000,152.0538852,Male,South,16,Toys,74.88352859,16-01-2021,03-04-2022,34000,16-01-2021,03-04-2022
180,181,43,60400,605.4167778,Male,South,24,Clothing,63.33271324,22-04-2021,25-10-2022,60400,22-04-2021,25-10-2022
181,182,72,109500,1866.438287,Female,South,6,Electronics,68.85244021,03-01-2022,19-08-2023,109500,03-01-2022,19-08-2023
182,183,31,35400,1055.961849,Female,East,31,Toys,65.84255442,12-04-2021,29-06-2021,35400,12-04-2021,29-06-2021
184,185,44,109900,810.3502531,Male,West,35,Electronics,41.36168493,10-02-2022,11-06-2022,109900,10-02-2022,11-06-2022
187,188,32,32100,324.7606294,Female,North,3,Clothing,6.370310248,02-11-2022,02-02-2023,32100,02-11-2022,02-02-2023
188,189,43,43800,1954.52272,Male,North,11,Toys,87.58198421,09-02-2021,11-07-2023,43800,09-02-2021,11-07-2023
189,190,59,102700,1098.649009,Male,West,3,Health,82.5315143,29-10-2022,11-11-2023,102700,29-10-2022,11-11-2023
190,191,77,29600,288.6628692,Male,East,28,Electronics,34.6384717,02-07-2022,15-01-2023,29600,02-07-2022,15-01-2023
192,193,68,86600,167.7840935,Male,West,33,Health,93.22276982,31-05-2022,29-09-2022,86600,31-05-2022,29-09-2022
193,194,49,43800,1817.316158,Female,East,48,Health,27.16367974,12-05-2022,21-10-2023,43800,12-05-2022,21-10-2023
197,198,78,22100,687.8596162,Male,North,36,Home & Garden,88.39691294,08-06-2022,25-06-2023,22100,08-06-2022,25-06-2023
200,201,47,112200,1470.129124,Male,South,12,Clothing,90.76392933,15-11-2021,15-03-2022,112200,15-11-2021,15-03-2022
202,203,40,81700,1950.856352,Female,East,13,Home & Garden,69.58696802,17-08-2022,22-12-2022,81700,17-08-2022,22-12-2022
203,204,56,53900,1669.744626,Male,West,24,Health,58.63840221,14-01-2021,18-04-2022,53900,14-01-2021,18-04-2022
204,205,62,57900,619.9746638,Female,East,44,Health,63.29886142,25-02-2021,04-10-2023,57900,25-02-2021,04-10-2023
205,206,32,35400,1933.764083,Female,South,32,Toys,80.3705424,07-02-2022,25-09-2022,35400,07-02-2022,25-09-2022
206,207,60,79700,1263.676672,Female,West,16,Health,97.92330833,08-12-2021,25-02-2022,79700,08-12-2021,25-02-2022
207,208,46,47800,1862.672103,Male,East,32,Clothing,79.5325354,18-07-2021,14-08-2023,47800,18-07-2021,14-08-2023
208,209,53,88100,1358.687951,Female,East,45,Home & Garden,70.75368316,09-11-2022,31-08-2023,88100,09-11-2022,31-08-2023
211,212,24,89200,1109.934119,Female,West,21,Home & Garden,73.59943674,17-03-2022,16-02-2023,89200,17-03-2022,16-02-2023
212,213,76,36100,1584.229386,Female,North,47,Clothing,77.04321954,19-03-2021,30-09-2022,36100,19-03-2021,30-09-2022
