,y_test,top1_digit,top1_prob,top2_digit,top2_prob
0,7,7,0.9999309,3,5.6519213e-05
1,2,2,0.9999735,1,2.6462969e-05
2,1,1,0.9999953,8,2.3645416e-06
3,0,0,0.99992484,6,7.425298e-05
4,4,4,0.9999984,9,1.1581214e-06
5,1,1,0.99999243,7,5.3516264e-06
6,4,4,0.9984657,8,0.0014440402
7,9,9,0.99945796,8,0.00049470883
8,5,5,0.9969631,8,0.0021071467
9,9,9,0.99995536,4,1.5783433e-05
10,0,0,0.99999815,2,1.6665417e-06
11,6,6,0.9999998,0,7.06963e-08
12,9,9,0.99996454,8,3.177915e-05
13,0,0,0.9999972,6,2.601817e-06
14,1,1,0.99998635,8,1.0842183e-05
15,5,5,0.9999959,3,4.0258806e-06
16,9,9,0.9999873,8,1.0253969e-05
17,7,7,0.999935,2,4.2333366e-05
18,3,3,0.6589366,5,0.31550825
19,4,4,0.9999986,2,7.978448e-07
20,9,9,0.99960905,7,0.00037468056
21,6,6,0.9999787,5,2.1257074e-05
22,6,6,0.9999992,4,6.9929325e-07
23,5,5,0.99999994,3,5.7537996e-08
24,4,4,0.99997896,9,1.440532e-05
25,0,0,0.99982476,6,9.9454475e-05
26,7,7,0.99955696,2,0.00041692017
27,4,4,0.99999994,2,4.637828e-08
28,0,0,0.9999923,2,6.1755763e-06
29,1,1,0.99989885,4,4.5646782e-05
30,3,3,0.9999998,5,1.5838144e-07
31,1,1,0.99959415,8,0.00021228797
32,3,3,0.9999996,5,3.6595887e-07
33,4,4,0.9994508,2,0.00029164407
34,7,7,0.9999773,3,2.0786894e-05
35,2,2,0.99999994,7,2.5163063e-08
36,7,7,0.9854815,2,0.01446147
37,1,1,0.99998504,4,5.018393e-06
38,2,2,0.9999611,1,3.715679e-05
39,1,1,0.9999098,8,7.137607e-05
40,1,1,0.99982953,8,5.4480763e-05
41,7,7,0.99503195,2,0.0047212923
42,4,4,0.9999221,9,5.5737855e-05
43,2,2,0.99999434,1,1.9456627e-06
44,3,3,0.99998575,5,1.35900345e-05
45,5,5,0.9999996,8,1.9997564e-07
46,1,1,0.9973727,2,0.0017221331
47,2,2,0.9999998,4,6.6572454e-08
48,4,4,0.9999799,8,1.02057675e-05
49,4,4,0.99999994,9,1.5900232e-08
50,6,6,0.9999966,5,2.8912273e-06
51,3,3,0.9999998,8,8.734026e-08
52,5,5,0.9999967,3,3.1650584e-06
