order_id,order_date,customer_id,customer_name,product_id,product_names,categories,quantity,price,total
0,2018-04-26,570,Customer_242,203,Chair,Office,7,55.31,387.17
1,2010-03-29,188,Customer_10855,209,Coffee Maker,Electronics,9,82.67,744.03
2,2015-10-10,706,Customer_25976,208,Notebook,Stationery,9,66.79,601.11
3,2014-06-19,722,Customer_14128,208,Notebook,Stationery,8,94.7,757.6
4,2021-04-30,314,Customer_32709,209,Coffee Maker,Electronics,6,37.0,222.0
5,2022-10-23,882,Customer_25676,201,Smartphone,Electronics,6,18.64,111.84
6,2017-03-28,900,Customer_16389,200,Laptop,Electronics,3,23.44,70.32000000000001
7,2011-08-01,398,Customer_28427,203,Chair,Office,7,10.84,75.88
8,2010-01-19,219,Customer_11734,208,Notebook,Stationery,8,67.6,540.8
9,2018-05-04,722,Customer_32604,206,Paper,Stationery,5,77.6,388.0
10,2017-12-25,428,Customer_28467,205,Printer,Electronics,10,18.51,185.10000000000002
11,2015-12-27,675,Customer_6638,201,Smartphone,Electronics,6,8.81,52.86
12,2023-09-20,999,Customer_1101,205,Printer,Electronics,8,39.0,312.0
13,2014-01-02,887,Customer_32650,202,Desk,Office,6,87.67,526.02
14,2010-12-18,393,Customer_19029,208,Notebook,Stationery,9,7.39,66.50999999999999
15,2021-09-19,233,Customer_9175,208,Notebook,Stationery,10,45.95,459.5
16,2021-04-22,358,Customer_25005,211,Plastic Cups,Sundry,2,20.36,40.72
17,2011-08-10,310,Customer_3459,202,Desk,Office,1,24.6,24.6
18,2015-02-07,494,Customer_13736,209,Coffee Maker,Electronics,4,58.0,232.0
19,2010-04-17,862,Customer_1461,209,Coffee Maker,Electronics,2,8.24,16.48
20,2012-08-28,532,Customer_5219,206,Paper,Stationery,4,81.14,324.56
21,2022-07-20,851,Customer_5350,209,Coffee Maker,Electronics,1,56.95,56.95
22,2013-04-05,363,Customer_28435,203,Chair,Office,4,3.65,14.6
23,2014-03-12,676,Customer_30680,205,Printer,Electronics,2,99.25,198.5
24,2023-09-23,645,Customer_2465,211,Plastic Cups,Sundry,8,60.92,487.36
25,2011-05-20,461,Customer_24796,202,Desk,Office,7,90.13,630.91
26,2022-03-12,177,Customer_1879,204,Monitor,Electronics,3,96.89,290.67
27,2017-02-17,756,Customer_1865,200,Laptop,Electronics,10,96.77,967.6999999999999
28,2012-03-25,282,Customer_16589,200,Laptop,Electronics,6,18.47,110.82
29,2016-10-12,644,Customer_6783,206,Paper,Stationery,1,69.07,69.07
30,2012-03-01,919,Customer_22271,211,Plastic Cups,Sundry,2,45.08,90.16
31,2015-09-09,823,Customer_6338,200,Laptop,Electronics,4,35.15,140.6
32,2015-10-14,740,Customer_22576,205,Printer,Electronics,6,2.51,15.059999999999999
33,2015-12-27,226,Customer_15795,205,Printer,Electronics,10,71.02,710.1999999999999
34,2018-07-14,505,Customer_24908,206,Paper,Stationery,10,19.98,199.8
35,2015-07-26,570,Customer_30952,200,Laptop,Electronics,4,30.88,123.52
36,2021-02-20,121,Customer_28078,207,Pen,Stationery,7,99.45,696.15
37,2019-04-29,211,Customer_10207,207,Pen,Stationery,3,12.35,37.05
38,2021-11-15,372,Customer_5401,202,Desk,Office,6,79.02,474.12
39,2010-09-30,753,Customer_1450,211,Plastic Cups,Sundry,5,99.6,498.0
